"bairro_key","NM_BAIRRO_DADOS","Casos"
"goytacases","Goytacases",1918
"travessao","Travessao",1565
"farol de sao tome","Farol De Sao Tome",1553
"parque novo jockey","Pq Novo Jockey",1052
"parque penha","Pq Penha",1023
"tocos","Tocos",797
"donana","Donana",703
"tapera","Tapera",500
"baixa grande","Baixa Grande",472
"parque imperial","Pq Imperial",444
"parque aeroporto","Pq Aeroporto",421
"parque calabouco","Pq Calabouco",398
"ururai","Ururai",393
"custodopolis","Custodopolis",337
"saturnino braga","Saturnino Braga",321
"parque brasilia","Pq Brasilia",299
"parque vicente goncalves","Pq Vicente Goncalves",288
"parque presid vargas","Pq Presid Vargas",250
"boa vista","Boa Vista",231
"parque rodoviario","Pq Rodoviario",231
"parque santa clara","Pq Santa Clara",229
"conselheiro josino","Conselheiro Josino",209
"tres vendas","Tres Vendas",180
"codim","Codim",175
"poco gordo","Poco Gordo",172
"parque aldeia","Pq Aldeia",161
"parque lebret","Pq Lebret",156
"ponta da lama","Ponta Da Lama",150
"alphaville","Alphaville",148
"parque santa helena","Pq Santa Helena",148
"parque tropical","Pq Tropical",142
"vila nova","Vila Nova",141
"nova campos","Nova Campos",130
"mineiros","Mineiros",128
"parque flamboyant","Pq Flamboyant",124
"jardim ceasa","Jd Ceasa",116
"santa cruz","Santa Cruz",116
"parque jardim carioca","Pq Jd Carioca",111
"barcelos","Barcelos",110
"morro do coco","Morro Do Coco",107
"dores de macabu","Dores De Macabu",106
"guandu","Guandu",105
"mussurepe","Mussurepe",105
"babosa","Babosa",104
"carvao","Carvao",104
"penha","Penha",96
"campo novo","Campo Novo",95
"ponta grossa","Ponta Grossa",87
"barbosa","Barbosa",78
"parque varanda do visco","Pq Varanda Do Visco",78
"ibitioca","Ibitioca",77
"parque santos dumont","Pq Santos Dumont",74
"sao sebastiao","Sao Sebastiao",73
"canaa","Canaa",72
"novo eldorado","Novo Eldorado",71
"santo amaro","Santo Amaro",70
"vivenda do coq i","Vivenda Do Coq i",69
"nova brasilia","Nova Brasilia",67
"jardim lagoa das pedras","Jd Lagoa Das Pedras",65
"grussai","Grussai",64
"venda nova","Venda Nova",62
"sao jorge","Sao Jorge",61
"martins lage","Martins Lage",58
"terra prometida","Terra Prometida",58
"nova canaa","Nova Canaa",57
"parque boa vista","Pq Boa Vista",57
"parque caju","Pq Caju",54
"parque maciel","Pq Maciel",49
"arraial","Arraial",48
"rio preto","Rio Preto",48
"campo limpo","Campo Limpo",47
"lagoa de cima","Lagoa De Cima",47
"coqueiro de tocos","Coqueiro De Tocos",46
"nova goytacazes","Nova Goytacazes",46
"vila romana","Vila Romana",45
"pelinca","Pelinca",44
"fazendinha","Fazendinha",43
"brejo grande","Brejo Grande",41
"serrinha","Serrinha",41
"vila manhaes","Vila Manhaes",41
"marrecas","Marrecas",40
"horto municipal","Horto Municipal",39
"santa ana","Santa Ana",39
"saraiva","Saraiva",39
"jardim das acacias","Jardim Das Acacias",38
"pernambuca","Pernambuca",38
"balanca rangel","Balanca Rangel",37
"vila menezes","Vila Menezes",36
"parque santa maria","Pq Santa Maria",35
"goitacazes","Goitacazes",34
"usina sapucaia","Usina Sapucaia",34
"cazumba","Cazumba",33
"correntezas","Correntezas",32
"caxeta","Caxeta",31
"chatuba","Chatuba",31
"sao benedito","Sao Benedito",30
"sao martinho","Sao Martinho",30
"atafona","Atafona",29
"outeiro","Outeiro",29
"caxias de tocos","Caxias De Tocos",27
"guarus","Guarus",27
"km 14","Km 14",26
"palmares","Palmares",26
"santa rosa","Santa Rosa",26
"espinho","Espinho",25
"parque real","Pq Real",22
"parque saraiva","Pq Saraiva",22
"vila dos coroados","Vila Dos Coroados",21
"caxias","Caxias",20
"iterere","Iterere",20
"nova goitacazes","Nova Goitacazes",20
"parque ceasa","Pq Ceasa",20
"usina cambaiba","Usina Cambaiba",20
"usina sao joao","Usina Sao Joao",20
"bugalho","Bugalho",19
"fazenda campelo","Fazenda Campelo",19
"goytacazes","Goytacazes",19
"novo horizonte","Novo Horizonte",19
"pecuaria","Pecuaria",19
"solar da penha","Solar Da Penha",19
"veiga","Veiga",19
"conceicao do imbe","Conceicao Do Imbe",18
"veredas","Veredas",18
"km 15","Km 15",17
"matadouro","Matadouro",17
"pureza","Pureza",16
"cidade luz","Cidade Luz",15
"jardim marilea","Jardim Marilea",15
"vicente dias","Vicente Dias",15
"km 13","Km 13",14
"santa maria","Santa Maria",14
"turf club","Turf Club",14
"acu","Acu",13
"campo de areia","Campo De Areia",13
"ipuca","Ipuca",13
"ribeiro amparo","Ribeiro Amparo",13
"alto de areias","Alto De Areias",12
"capao","Capao",12
"eldorado","Eldorado",12
"praca joao pessoa","Praca Joao Pessoa",12
"santa clara","Santa Clara",12
"santo eduardo","Santo Eduardo",12
"barra do itabapoana","Barra Do Itabapoana",11
"guriri","Guriri",11
"joquei club","Joquei Club",11
"ponta do coqueiro","Ponta Do Coqueiro",11
"sao joaquim","Sao Joaquim",11
"tocaia","Tocaia",11
"carmo","Carmo",10
"chave do paraiso","Chave Do Paraiso",10
"costa azul","Costa Azul",10
"floresta","Floresta",10
"nova sao joao da barra","Nova Sao Joao Da Barra",10
"po o gordo","Poþo Gordo",10
"vila da rainha","Vila Da Rainha",10
"cachoeiro","Cachoeiro",9
"cajueiro","Cajueiro",9
"estancia da penha","Estancia Da Penha",9
"fazenda boa vista","Fazenda Boa Vista",9
"fundao","Fundao",9
"gargau","Gargau",9
"mato escuro","Mato Escuro",9
"morangaba","Morangaba",9
"mundeus","Mundeus",9
"quilombo","Quilombo",9
"sao caetano","Sao Caetano",9
"agua preta","Agua Preta",8
"barao de macaubas","Barao De Macaubas",8
"farol","Farol",8
"retiro","Retiro",8
"agua santa","Agua Santa",7
"guaxindiba","Guaxindiba",7
"lago do garcia","Lago Do Garcia",7
"largo do garcia","Largo Do Garcia",7
"presidente vargas","Presidente Vargas",7
"real","Real",7
"recreio","Recreio",7
"saldanha da gama","Saldanha Da Gama",7
"usina santa cruz","Usina Santa Cruz",7
"visconde de ururai","Visconde De Ururai",7
"alvorada","Alvorada",6
"amendoeira","Amendoeira",6
"bariri","Bariri",6
"jardim primavera","Jd Primavera",6
"km 8","Km 8",6
"morro grande","Morro Grande",6
"prazeres","Prazeres",6
"radio velho","Radio Velho",6
"santa helena","Santa Helena",6
"santa rita","Santa Rita",6
"sao vicente","Sao Vicente",6
"soo caetano","Sòo Caetano",6
"tapera 2","Tapera 2",6
"turf","Turf",6
"aldeia 2","Aldeia 2",5
"buena","Buena",5
"cimento paraiso","Cimento Paraiso",5
"granja dos cavaleiros","Granja Dos Cavaleiros",5
"imburi","Imburi",5
"jockey","Jockey",5
"jockey 2","Jockey 2",5
"jockey club","Jockey Club",5
"nova divineia","Nova Divineia",5
"novo jockey","Novo Jockey",5
"olhos dagua ii","Olhos Dagua Ii",5
"palmeiras","Palmeiras",5
"parque industrial","Parque Industrial",5
"planicie","Planicie",5
"quixaba","Quixaba",5
"sao matheus","Sao Matheus",5
"tapera i","Tapera i",5
"tapera ii","Tapera Ii",5
"vila do sol","Vila Do Sol",5
"aldeia","Aldeia",4
"aldeia ii","Aldeia Ii",4
"alto do eliseu","Alto Do Eliseu",4
"angelim","Angelim",4
"aurora","Aurora",4
"caboio","Caboio",4
"california","California",4
"degredo","Degredo",4
"estancia","Estancia",4
"gamboa","Gamboa",4
"imperial","Imperial",4
"jardim botanico","Jardim Botanico",4
"jardim de campos","Jardim De Campos",4
"km 08","Km 08",4
"km14","Km14",4
"lebret","Lebret",4
"macuco","Macuco",4
"novo mundo","Novo Mundo",4
"palacete","Palacete",4
"poao gordo","Poão Gordo",4
"ponto do carmo","Ponto Do Carmo",4
"recanto da penha","Recanto Da Penha",4
"sabonete","Sabonete",4
"santo antonio","Santo Antonio",4
"sao bento","Sao Bento",4
"sao jose","Sao Jose",4
"saudade","Saudade",4
"tapera 1","Tapera 1",4
"tapera 3","Tapera 3",4
"terra nova","Terra Nova",4
"usina santo antonio","Usina Santo Antonio",4
"viana","Viana",4
"vila rainha","Vila Rainha",4
"vivenda dos coq ii","Vivenda Dos Coq Ii",4
"aeroporto","Aeroporto",3
"beira do tai","Beira Do Tai",3
"calabouco","Calabouco",3
"campo da areia","Campo Da Areia",3
"canaan","Canaan",3
"canal das flexas","Canal Das Flexas",3
"canna","Canna",3
"catarino","Catarino",3
"caxia de tocos","Caxia De Tocos",3
"cidade jardim","Cidade Jardim",3
"cobra velha","Cobra Velha",3
"ernesto machado","Ernesto Machado",3
"fazenda grande","Fazenda Grande",3
"giro faisca","Giro Faisca",3
"joao seixas","Joao Seixas",3
"jockey ii","Jockey Ii",3
"km15","Km15",3
"lagoa","Lagoa",3
"leopoldina","Leopoldina",3
"linha do limao","Linha Do Limao",3
"marcelo","Marcelo",3
"matutu","Matutu",3
"montese","Montese",3
"murundu","Murundu",3
"nova cidade","Nova Cidade",3
"nova esperanca","Nova Esperanca",3
"novo goytacazes","Novo Goytacazes",3
"olhos daqua i","Olhos Daqua i",3
"parque angelica","Pq Angelica",3
"parque nova brasilia bairro","Pq Nova Brasilia - Bairro",3
"parque santuario","Pq Santuario",3
"parque sao jorge","Pq Sao Jorge",3
"parque tinola","Parque Tinola",3
"parque vicente dias","Pq Vicente Dias",3
"paus amarelo","Paus Amarelo",3
"prado","Prado",3
"praia do sonho","Praia Do Sonho",3
"recanto das palmeiras","Recanto Das Palmeiras",3
"resid porto seguro","Resid Porto Seguro",3
"rosario","Rosario",3
"sao fidelis","Sao Fidelis",3
"sao francisco de itabapoana","Sao Francisco De Itabapoana",3
"sao mateus","Sao Mateus",3
"sao silvestre","Sao Silvestre",3
"soo jose","Sòo Jose",3
"tapera iii","Tapera Iii",3
"veneza","Veneza",3
"vera cruz","Vera Cruz",3
"vila dos pescadores","Vila Dos Pescadores",3
"a u","Aþu",2
"aldeia 1","Aldeia 1",2
"azeitona","Azeitona",2
"barra do furado","Barra Do Furado",2
"barra do jacare","Barra Do Jacare",2
"barra grande","Barra Grande",2
"barreiro","Barreiro",2
"bela vista","Bela Vista",2
"bem viver","Bem Viver",2
"boa esperanaa","Boa Esperanãa",2
"bom sucesso","Bom Sucesso",2
"bosque das acacias","Bosque Das Acacias",2
"cambaiba","Cambaiba",2
"campos limpo","Campos Limpo",2
"canal das flechas","Canal Das Flechas",2
"cantagalo","Cantagalo",2
"canto do rio","Canto Do Rio",2
"cardoso moreira","Cardoso Moreira",2
"casumba","Casumba",2
"cavaleiros","Cavaleiros",2
"cazumb","Cazumbß",2
"ceasa","Ceasa",2
"chapeu do sol","Chapeu Do Sol",2
"coqueiros","Coqueiros",2
"corrientes","Corrientes",2
"cristo rei","Cristo Rei",2
"dom bosco","Dom Bosco",2
"espiador","Espiador",2
"esplanada","Esplanada",2
"imburi de campos","Imburi De Campos",2
"inga","Inga",2
"jardim aeroporto","Jardim Aeroporto",2
"jardim campos","Jardim Campos",2
"jardim das palmeiras","Jardim Das Palmeiras",2
"jardim maria queiroz","Jardim Maria Queiroz",2
"jardim paraiso","Jardim Paraiso",2
"jardim vitoria","Jardim Vitoria",2
"km10","Km10",2
"km8","Km8",2
"lagoa do garcia","Lagoa Do Garcia",2
"liberdade","Liberdade",2
"lot atlantica","Lot Atlantica",2
"manhaes","Manhaes",2
"mata cruz","Mata Cruz",2
"nova canaan","Nova Canaan",2
"nova eldorado","Nova Eldorado",2
"novo","Novo",2
"parque canaa","Pq Canaa",2
"parque nova canao","Pq Nova Canaò",2
"parque rio branco","Pq Rio Branco",2
"piteiras","Piteiras",2
"ponta do carmo","Ponta Do Carmo",2
"ponto do coqueiro","Ponto Do Coqueiro",2
"porto belo","Porto Belo",2
"pra a joao pessoa","Praþa Joao Pessoa",2
"praca tiradentes","Praca Tiradentes",2
"residencial veneza","Residencial Veneza",2
"residencial veredas","Residencial Veredas",2
"ribeiro amaro","Ribeiro Amaro",2
"rio branco","Rio Branco",2
"santa catarina","Santa Catarina",2
"santa fe","Santa Fe",2
"santos drumont","Santos Drumont",2
"santuario","Santuario",2
"sao diogo","Sao Diogo",2
"sao domingos","Sao Domingos",2
"sao joao da barra","Sao Joao Da Barra",2
"sao luiz","Sao Luiz",2
"terminal pesqueiro","Terminal Pesqueiro",2
"tira gosto","Tira Gosto",2
"toco","Toco",2
"travessao de barra","Travessao De Barra",2
"usina sto antonio","Usina Sto Antonio",2
"valao seco","Valao Seco",2
"viegas","Viegas",2
"vila almeida","Vila Almeida",2
"vila manahes","Vila Manahes",2
"visconde de araujo","Visconde De Araujo",2
"xexe","Xexe",2
"6 marias","6 Marias",1
"aftima","Aftima",1
"aguas das pedras","Aguas Das Pedras",1
"ajuda de baixo","Ajuda De Baixo",1
"albuquerque","Albuquerque'",1
"aldeia i","Aldeia i",1
"alegria dos anjos","Alegria Dos Anjos",1
"alfaville","Alfaville",1
"almas do mato","Almas Do Mato",1
"alpha green","Alpha Green",1
"alphavile","Alphavile",1
"alphaville 2","Alphaville 2",1
"alphaville ii","Alphaville Ii",1
"alphaville iii","Alphaville Iii",1
"alphville 2","Alphville 2",1
"alto alegre","Alto Alegre",1
"alto camaro","Alto Camaro",1
"alto da boa vista","Alto Da Boa Vista",1
"amparo","Amparo",1
"ancora","Ancora",1
"angelica","Angelica",1
"areal","Areal",1
"aroeira","Aroeira",1
"arraial travessao","Arraial - Travessao",1
"artur bernardes","Artur Bernardes",1
"asilo do carmo q","Asilo Do Carmo q",1
"aterro","Aterro",1
"babora","Babora",1
"bairro da gloria","Bairro Da Gloria",1
"baixa gande","Baixa Gande",1
"balneario","Balneário",1
"balneario remanso","Balneario Remanso",1
"bananal","Bananal",1
"bandeirantes","Bandeirantes",1
"barao","Barao",1
"barao de macabu","Barao De Macabu",1
"barra de macae","Barra De Macae",1
"barra do rio branco","Barra Do Rio Branco",1
"barra funda","Barra Funda",1
